PAIR_ID	SOURCE_FILE	EN_TEXT	ZH_TEXT	IT_TEXT	CITATION_EN	CITATION_ZH	EN_CHAR_LEN	ZH_CHAR_LEN
pair_0000_0000_023_241009	0000_0000_023_241009.txt	The cult that liberates the spiritual aspirant by helping him in expanding his mind and spirit is Tantra. And when a sádhaka, a spiritual aspirant, tries to enlarge his mind, naturally debasing forces become very active. The depraving forces, debasing forces, become very active, and the sádhaka is to enlarge his mind and spirit by fighting at each and every step, each and every stage of life.	幫助靈性修持者擴展心靈，以達到解脫的法門鍛鍊就稱為「密宗」。 當修行者努力擴展其心靈時，自然許多阻礙會迎面而來。這些墮落、粗鈍的力量是如此張牙舞爪，為了對抗它們以擴展心靈和靈性，修行者在生命的每一步都必須不停地奮鬥。		Shrii Shrii Ánandamúrti | Date not known | 04 Fighting at Each and Every Step | Ánanda Vacanámrtam Part 34	Shrii Shrii Ánandamúrti | 日期未知 | 04 每一步都必須奮鬥 | 喜悅甘露集 卷11，P.23	397	108
pair_0000_0000_024_250516	0000_0000_024_250516.txt	Now, a Tantric is called, a sádhaka is called, a soldier. [Sádhanásamara] [“the battle of sádhaná”]. Samara means “war”, “battle”, “fight”. The sádhaka is engaged in fight. It is for the brave, it is for courageous people. Sádhanásamara. And this cult is the cult of Tantra. He who wants to keep himself away from fight is unknowingly committing suicide, mental and spiritual suicide. Each and every man should be ready for fight – fight in the mental stratum, fight in the family stratum, fight in each and every stratum of life. This is Tantra.	靈性的修持者被稱為「戰士」。靈性修持的戰場稱為Sádhanásamara。Samara是指「戰爭」、「交戰」、「奮鬥」。修行者必須奮戰，靈性的修持是為勇者而備的。而此戰鬥的法門就是「Tantra」。一個意欲躲避戰鬥的人，在不知不覺間犯了自我毀滅的罪行，他毀滅了自己的心靈和靈性。所以每個人都必須隨時備戰，在生命的每個層面都要有戰鬥的準備，這就是「Tantra」。		Shrii Shrii Ánandamúrti | Date not known | 04 Fighting at Each and Every Step | Ánanda Vacanámrtam Part 34	Shrii Shrii Ánandamúrti | 日期未知 | 04 每一步都必須奮鬥 | 喜悅甘露集 卷11，P.24	554	181
pair_0000_0000_033_240618	0000_0000_033_240618.txt	You are in the midst of so many minute expressions of Náráyańa. Each and every expression is Náráyańa in a particular form, Náráyańa in a particular shape, Náráyańa in a particular style. You are to serve them, and this serving of Náráyańa in human form is your objective adjustment, and your movement towards the Non-Attributional Supreme Puruśa is your subjective approach.	你們處在上主森羅萬象的微小展現中，你們必須為眾生服務，你們的客體調適就是以人的形相為祂服務，而你們朝向主體的前進就是往無屬性至上本體的行動。		Shrii Shrii Ánandamúrti | Fighting at Each and Every Step | Ánanda Vacanámrtam Part 34	Shrii Shrii Ánandamúrti | 每一步都必須奮鬥 | 喜悅甘露集卷11，P.33	391	70
pair_0000_0000_035_251018	0000_0000_035_251018.txt	Life is to fight. Now when one starts fight, then he becomes a man in human structure. He is no longer a brute in human structure, he is a man in human structure. And in that phase he says: “O Lord, by Your mercy, by Your grace, I have become a hero, I have started fighting against debasing forces functioning within my mind, functioning within my family, functioning within the society. So by Your grace I have become a hero. I am a hero, I am a viira, thou art Viireshvara [Lord of Heroes].” So in the second phase of sádhaná, Pashupati becomes Viireshvara. It is another name of Lord Shiva. Pashupati becomes Viireshvara. And as a result of further fight, when this fighting tendency, this belligerent tendency, becomes his wont, in that case He becomes a deva, he is called a deva.	生命就是要奮鬥。當一個人起身奮戰時，他始成為真正的人，而不再是徒具人形的野獸。在此階段，他會說：「哦，主啊！由於您的慈悲，我成了英勇的戰士，開始對抗心中卑劣的習性，也開始與在家庭、社會生活中的阻礙奮戰。所以，因為有您的恩典，我才得以成就自身為英雄，才是個真正的勇者，哦，您是勇者之主(Viireshvara)!」 在靈性修持的第二個階段裡，上主從動物之主(Pashupati)變成勇者之主，這是上主希瓦的另一個稱呼。由於更加努力奮戰，此戰鬥的傾向業已形成習慣，此時他將成為一個神人，他就變成了神。		Shrii Shrii Ánandamúrti | Date not known | 05 I Have Become a Hero | Ánanda Vacanámrtam Part 34	Shrii Shrii Ánandamúrti | 日期未知 | 05 成就自身為英雄 | 喜悅甘露集 卷11，P.35	788	248
pair_0000_0000_036_250830	0000_0000_036_250830.txt	In human life there should be – what? Subjective approach through objective adjustment. If only the subjective approach is there and there is no objective adjustment, there equilibrium will be lost. The entire human society will become degraded and destroyed. And if there is only physical activity and no spiritual advancement, human existence will be rendered to the status of brutes or plants, which is not at all desirable. So a spiritual aspirant must always remember the subjective approach through objective adjustment. There is no alternative.	在生命的進展中，人類必須藉由客體的調適以接近主體。只從事主體的接近，而未有客體的調適，那麼人會失去平衡。整體人類社會也會跟著墮落和毀滅。然而如果只重視客體層面的活動，而忽略靈性的進展，那麼人類的存在將淪落如動、植物般的生命，此非吾人所樂見之結果。所以靈性的修持者一定要牢記「透過客體的調適以接近主體」這句話，此外別無他途可循。		Shrii Shrii Ánandamúrti | Date not known | 05 There Should Be Subjective Approach through Objective Adjustment | Ánanda Vacanámrtam Part 31	Shrii Shrii Ánandamúrti | 日期未知 | 05 透過客體的調適以接近主體 | 喜悅甘露集 卷9，P.36	551	163
pair_0000_0000_037_241030	0000_0000_037_241030.txt	The resultant of these vrttis, or expressed sentiments, is the saḿskára of the mind concerned. Saḿskáras have a momentum whose inherent force causes the unit body to propel to the force of momentum activating therein. Resultant propensity consists of three aspects – physical [desire], psychic urge and spiritual [longing]. The last one causes neither a good nor a bad reaction; here is a balanced state. The propensitive equipoise is a characteristic only of the Macrocosmic Entity, since in It lies everything, nothing is beyond or external to It. Hence it remains unassailed.	情感的展現或習性作用的結果和心靈中潛藏的因果業力有關。業力含有一股非表達不可的動力，這活躍的動力驅策著個體。 習性的表達包含三個方面：物質層面的慾望、心理層面以及靈性層面的渴望。靈性層面的渴望所造成的業力沒有所謂好壞，在此它是處於一種平衡的狀態。 唯有大宇宙心靈才有平衡的心靈習性，因為萬有一切均含攝其中，沒有任何東西超越它而存在，故它永恆如新，不受影響。		Shrii Shrii Ánandamúrti | Date not known | 06 Macro-Propensitive Equipoise and Non-Propensitive Desideratum | Ánanda Vacanámrtam Part 31	Shrii Shrii Ánandamúrti | 日期未知 | 06 大宇宙心靈的意願及無習性作用的至上目標 | 喜悅甘露集 卷9，P.37~38	582	178
pair_0000_0000_039_240906	0000_0000_039_240906.txt	How to attain bhakti, how to withdraw the mind from baser propensities and drive it towards the subtlest entity, the abhiiśt́a? The simplest formula is “action minus jiṋánam [knowledge] is equal to devotion” – “karma minus jiṋánam is equal to bhakti.”	如何獲得虔誠？如何從低下、粗鈍的心靈習性中將心靈回收導向最精細的實體(abhiiśt́a)?最簡單的方式就是下列的公式：行動減去知識等於虔誠。		Shrii Shrii Ánandamúrti | Date not known, Bangalore | 06 I Will Not Discourage Jiṋánam | Ánanda Vacanámrtam Part 34	Shrii Shrii Ánandamúrti | 日期未知，於Bangalore | 06 我並非反對知識 | 喜悅甘露集 卷11，P.39	256	71
pair_0000_0000_040_231214	0000_0000_040_231214.txt	Every incident of this universe takes place within His mind, every entity is a creation of His vast imagination. He does not require hands and legs to do his work. He guides and rejuvenates all with His psychic power.	宇宙中的每一事件都在祂的心靈內發生，所有實體皆是祂無限想像的創造，祂不需手和腳來完成祂的工作，而是以其心智力量來引導並賦予一切活力。		All Shine with His Effulgence,  | Subháśita Saḿgraha Part 6	萬物皆閃耀著至上的榮光，靈性科學集成卷六，P.40	217	66
pair_0000_0000_109_240524	0000_0000_109_240524.txt	You are dancing in His mind; your dances are creating a special type of vibration within His mind; it gives Him pleasure. You are doing good work; your good work creates a special type of vibration in His mind; it gives Him pleasure. Whatever good thing you do, it gives Him pleasure.	你在祂的心靈裡跳舞，你的舞蹈在祂的心靈裡製造出某種波動，讓祂覺得快樂。你正在行善，你所做的事也在祂的心靈裡製造出某種波動，這也讓祂感到快樂。不論你做了什麼好事，都會取悅祂。任何你所發展的好念頭都會取悅祂。		Shrii Shrii Ánandamúti | He Thinks and We Perceive | Ánanda Vacanámrtam Part 34	Shrii Shrii Ánandamúti | 究竟真理 | 喜悅甘露集 卷11，P.109	284	102
pair_0000_0000_109_250121	0000_0000_109_250121.txt	All inferences are emanated from the Cosmic Mind, from the mind of the Supreme Father. You are dancing, you will be dancing; but these dances you are dancing within the mind of your Supreme Father. You are dancing within the mind of Parama Puruśa. You are dancing in His mind; your dances are creating a special type of vibration within His mind; it gives Him pleasure. You are doing good work; your good work creates a special type of vibration in His mind; it gives Him pleasure. Whatever good thing you do, it gives Him pleasure.	所有的微波元素都是從大宇宙心靈、至上之父的心靈而來。你在跳舞，你將要跳舞，但你所跳的舞正在你至上父親的心靈裡，你在至上意識的心靈裡跳舞。你在祂的心靈裡跳舞，你的舞蹈在祂的心靈裡製造出某種波動，讓祂覺得快樂。你正在行善，你所做的事也在祂的心靈裡製造出某種波動，這也讓祂感到快樂。不論你做了什麼好事，都會取悅祂。任何你所發展的好念頭都會取悅祂。		Shrii Shrii Ánandamúrti | Date not known | 16 He Thinks and We Perceive | Ánanda Vacanámrtam Part 34	Shrii Shrii Ánandamúrti | 日期未知 | 16 究竟真理 | 喜悅甘露集 卷11，P.109	533	170
