CORPUS_ID	CATEGORY	DIFFICULTY	CHAR_LEN	OOV_RATE	CLEAN_TEXT	FEASIBLE_RUHI	NOTE
01 顏色背後的秘密 01 The Secret behind Colours_0001	general	L3	10	0.8571	01 顏色背後的秘密	YES	含未登錄字(顏色背後秘)
01 顏色背後的秘密 01 The Secret behind Colours_0002	general	L3	15	1.0000	1978年8月5日於Patna	YES	含未登錄字(年月日於)
01 顏色背後的秘密 01 The Secret behind Colours_0003	general	L3	29	0.6667	發表於：Ánanda Vacanámrtam Part 1	YES	含未登錄字(表於)
01 顏色背後的秘密 01 The Secret behind Colours_0004	general	L3	7	0.8333	喜悅甘露集卷1	YES	含未登錄字(悅甘露集卷)
01 顏色背後的秘密 01 The Secret behind Colours_0005	general	L3	45	0.5000	筆記：official source: Ánanda Vacanámrtam Part 1	YES	含未登錄字(記)
01 顏色背後的秘密 01 The Secret behind Colours_0006	general	L3	30	0.5714	官方來源：Ánanda Vacanámrtam 第 1 部分	YES	含未登錄字(官源第部)
01 顏色背後的秘密 01 The Secret behind Colours_0007	general	L3	57	0.8125	此版本：為《Ánanda Vacanámrtam》第一部分第二版的印刷版本（僅糾正了明顯的拼寫、標點和印刷錯誤）。	YES	含未登錄字(此版本為第)
01 顏色背後的秘密 01 The Secret behind Colours_0008	general	L3	20	0.6667	也就是說，這是截至目前電子版的最新版本。	YES	含未登錄字(說截至目前)
01 顏色背後的秘密 01 The Secret behind Colours_0009	general	L3	31	0.5000	這是 Ánanda Vacanámrtam 系列的第一篇論述。	YES	含未登錄字(列第篇論述)
01 顏色背後的秘密 01 The Secret behind Colours_0010	general	L3	38	0.8000	這個宇宙洋溢著波動，此物質世界是由五大原素所組成，它僅位於心理和超心理範疇。	YES	含未登錄字(個宇宙洋溢)
01 顏色背後的秘密 01 The Secret behind Colours_0011	general	L3	14	0.7500	有無數的波動，但它並非無限；	YES	含未登錄字(無數波動但)
01 顏色背後的秘密 01 The Secret behind Colours_0012	general	L3	16	0.6429	若是無限，那麼宇宙萬有也是無限。	YES	含未登錄字(若無限麼宇)
01 顏色背後的秘密 01 The Secret behind Colours_0013	general	L3	16	0.6154	不錯，它們的確很多，但並非無限。	YES	含未登錄字(錯確多但並)
01 顏色背後的秘密 01 The Secret behind Colours_0014	general	L3	19	0.7647	世界有三種主要的顏色白色、紅色和黑色。	YES	含未登錄字(世界三種主)
01 顏色背後的秘密 01 The Secret behind Colours_0015	general	L3	28	0.8800	白色代表悅性法則，紅色代表變性法則，而黑色代表惰性法則。	YES	含未登錄字(白色代表悅)
01 顏色背後的秘密 01 The Secret behind Colours_0016	general	L3	25	0.6923	唯一的純意識 (Purus'a) 創造了這些顏色；	YES	含未登錄字(唯純識創造)
01 顏色背後的秘密 01 The Secret behind Colours_0017	general	L3	11	0.7000	祂用這些顏色吸引眾生。	YES	含未登錄字(祂些顏色吸)
01 顏色背後的秘密 01 The Secret behind Colours_0018	general	L3	22	0.7500	若無此吸引力，宇宙眾生就無法享受生存的樂趣。	YES	含未登錄字(若無此吸引)
01 顏色背後的秘密 01 The Secret behind Colours_0019	general	L3	23	0.6471	當「許多」的起因歸為「一」的時候，即為本體的；	YES	含未登錄字(當多起因歸)
01 顏色背後的秘密 01 The Secret behind Colours_0020	general	L3	14	0.6923	而此大千世界則是屬於現象的。	YES	含未登錄字(而此千世界)
01 顏色背後的秘密 01 The Secret behind Colours_0021	general	L3	19	0.7778	這個多彩多姿的世界為什麼會被創造出來？	YES	含未登錄字(個多彩多姿)
01 顏色背後的秘密 01 The Secret behind Colours_0022	general	L3	17	0.6000	因為這樣一來，世人才會想留在世上。	YES	含未登錄字(因為樣世才)
01 顏色背後的秘密 01 The Secret behind Colours_0023	general	L3	23	0.8500	當小孩哭了，媽媽把玩具給他，小孩便可以繼續玩。	YES	含未登錄字(當小孩哭了)
01 顏色背後的秘密 01 The Secret behind Colours_0024	general	L3	15	0.7692	為了製造玩具，於是產生了顏色。	YES	含未登錄字(為了製造玩)
01 顏色背後的秘密 01 The Secret behind Colours_0025	general	L3	8	0.5714	但是其目的何在？	YES	含未登錄字(但其目何)
01 顏色背後的秘密 01 The Secret behind Colours_0026	general	L3	10	0.6667	真正的意圖又是什麼？	YES	含未登錄字(真正圖又什)
01 顏色背後的秘密 01 The Secret behind Colours_0027	general	L3	18	0.6250	它的起因以及內在的動機，只有祂知道。	YES	含未登錄字(起因及內動)
01 顏色背後的秘密 01 The Secret behind Colours_0028	general	L3	13	0.7273	如果揭露它，秘密就洩露了。	YES	含未登錄字(果揭露秘密)
01 顏色背後的秘密 01 The Secret behind Colours_0029	general	L3	12	0.6364	那麼這到底是怎麼一回事？	YES	含未登錄字(麼到底怎麼)
01 顏色背後的秘密 01 The Secret behind Colours_0030	general	L3	38	0.6286	如果秘密一旦被知道了，人們會努力掙脫朿縛，他們不會想停留在多彩多姿的萬有中。	YES	含未登錄字(果秘密旦被)
